JURS_NAME,YEAR,PROGRAM_NAME,PROGRAM_OBJECTIVE,ACCOMPLISHED_DT,PROGRAM_STATUS
ROLLING HILLS ESTATES,2019,Emergency Shelters,Encourage and facilitate the provision of emergency shelters in conformance with SB2.,Code Amendment by April 2014,Ordinance No. 693 adopted 04/08/14
ROLLING HILLS ESTATES,2019,Housing Assistant Programs,Minimize difference between affordable and market rate units,Ongoing; 2 to 3 applications during the planning period; annual progress reports,Ongoing implementation.
SAN DIMAS,2019,Affordable Housing Density Bonus,Maintain a local density bonus ordinance consistent with State requirements and advertise through dissemination of the Affordable Housing Brochure at the public counter and on the City's website.,2014-21,Ongoing. Local ordinance updated in 2013. Evaluating need to update based upon recent state legislative actions. No requests for density bonuses received in 2019.
SAN DIMAS,2019,Mobile Home Park Preservation And Affordability,"Retain affordability at the Charter Oaks Mobile Home Park; continue the new space rental credit program at the Charter Oaks, assisting at least 10 lower income residents anually; and evaluate the effectiveness of the program annually. Renew the Mobile Home Accord to maintain rent stability. Continue to implement the conversion ordinance. ",2014-21,"Mobile Home Accord has been extended to June 30, 2020

City currently provides rental assistance to 18 residents of Charter Oaks Mobile Home Park

City funds a rehabilitation grant program ($80,000) to all mobile home parks. In 2019 the following assistance was provided:

Extremely Low: 9 
Low: 15 
Moderate: 5"
SAN DIMAS,2019,Section 8 Rental Assistance ,Continue to refer participates in the Section 8 program administered by HACoLA and advertise to income to eligible residents; encourage landlords to register units with the Housing Authority and undergo education in the Section 8 Program. ,2014-21,City offers referrals to the County Section 8 Program but does not track referrals.
DOWNEY,2019,Lot Consolidation,Encourage lot consolidation of smaller parcels to accommodate project of a minimum of 16 units at a density of at least 30 units per acre.,Following Housing Element certification.,"No lots were consolidated within the City or its downtown. However, staff continues to encourage and present the activity as an option."
REDONDO BEACH,2019,Program 2: Handyperson Program,Annually check the websites of the U.S. Department of Housing and Urban Development (HUD) and the California Department of Housing and Community Development (HCD) and/or contact staff for potential funding sources and apply for eligible programs.,Annually,"This program ceased in 2012 due to ongoing annual funding reductions from HUD. The City continues to refer handyperson inquiries to local social service and faith-based organizations that periodically provide support to qualifying households in need. The City continues to provide services under the Mobility Access and Emergency Repair Program. The City continues to monitor for, identify, and pursue additional funding sources for this activity and a modified version of this program is included in the 2017 Housing Element Update."
REDONDO BEACH,2019,Program 4: Preservation of Affordable Housing at Risk of Converting to Market Rate,Monitor the status of Seaside Villa and Heritage Pointe annually. Ensure residents are notified by the property owner once a Notice of Intent to opt out of the Section 8 contract is filed. Contact nonprofit developers with capacity to acquire and manage at-risk projects in Redondo Beach to explore preservation options if a Notice of Intent to opt out of the Section 8 contract is filed. Support funding applications by qualified nonprofit developers to pursue funding at the State and federal levels for preserving existing affordable housing.,Annually,"To date, no at-risk units have been converted to market-rate housing during the current Housing Element planning period. Opting out of the Section 8 program requires a one year notice to the tenants. Seaside Villa has opted to enter into a new 5 year contract with HUD for their continued participation in the HUD funded Section 8 program.

The City will continue to facilitate the preservation of at-risk housing. This program is updated and included in the 2017 Housing Element."
LANCASTER,2019,"6.1.6 (c)
Northeast Gateway Corridor","Facilitate the construction of affordable housing developments for very low, low, and moderate income households.",2013-2016,This corrdor encompasses mutiple projects that were listed under North Downtown Transit Village and Whit Carter
SIGNAL HILL,2019,Outreach Program for Persons with Developmental Disabilities,Coordinate with Harbor Regional Center,Implement outreach components mid-year 2015,"In process: 
The City is within the Long Beach Harbor Regional Center service area and disabled residents are eligible for programs and services.
Informational links are posted on the City website.
The Eucalyptus Sea Breeze Manor apartments located in the City were built
using funding through HUD's Section 811 Supportive Housing for the Persons
with Disabilities program. Residency is restricted to persons who earn 50% of the Area Median Income (AMI) or less. Similar to other rental assistance
programs such as Section 8, residents' rents are based on their income and
the tenant contribution is set at 30% of the tenant's income.
In 2017, representatives from the Regional Housing Authority and City staff,
including the Police Department, conducted an information sharing meeting
to better implement available programs.                                                        
In 2018, the City confirmed their local contact with the LBHRC was Nancy Speigel, Director of Information and Develpment.
In 2019, the City confirmed their local contact with LBHRC was Nancy Speigel, Director of Information and Development."
SIGNAL HILL,2019,Extremely Low Income Housing Program,Assist 57 extremely low income households,October 2013-October 2021,"In 2019, all residential units identified in the 2013-2021 Housing Element to accommodate the City's share of regional planning need remain zoned for residential uses."
SIGNAL HILL,2019,Housing Code Enforcement Program,2-5 new cases per month,October 2013-October 2021,"Completed and Ongoing -
In 2015, the City closed 58 code enforcement cases.
In 2016, the City closed 67 code enforcement cases.
In 2017, the City closed 68 code enforcement cases.                                        
In 2018, the City closed 49 code enforcement cases.
In 2019, the City closed 39 code enforcement cases."
BURBANK,2019,Land Use Element and Zoning Code Update,Facilitate/encourage residential mixed- use development and possibly small- lot development; provide a range of housing types.,By 2015,"In April 2018, the Zoning Code was updated to incorporate new ADU regulations in compliance with State law and again in 2019/2020. Beginning in 2016, staff has also been working on development standards for mixed-use places; zoning map was updated to reflect new planned developments approved by City as well as amendments resulting from the 2013 General Plan."
INDUSTRY,2019,8: Housing for Homeless People,Amend the Municipal Code to permit at least one emergency shelter without a conditional use permit or other discretionary permit in the Institutional Zone with capacity to address the City’s unmet need. Define transitional and supportive housing and permit such uses as a residential use in all zones allowing residential use and only subject to those restrictions that apply to other residential dwellings of the same type in the same zone.,Within one year of adoption of the housing element.,"The Municipal Code was amended to address emergency shelters and transitional housing in 2015 (Ord. 787 § 4, 2015)."
PASADENA,2019,Housing Education and Monitoring,"24.3. At the midpoint of the 2014-2021 housing element period (2017), review select programs and activities to fine tune and adjust as deemed needed.",2017,"As a result of new state housing legislation, the City updated its Inclusionary Housing Ordinance in August 2019 increasing the inclusionary housing requirement to 20 percent. The City also amended the Tenant Protection Ordinance in July 2019 to expand protections to tenants displaced in connection with rent increases, lease terminations, or evictions."
GARDENA,2019,14. Opportunity Sites Listing and Outreach,"a) Continue to maintain an updated listing of opportunity sites 
b) Initiate contact with South Bay Board of Realtors about development opportunities involving lot consolidation",Within One Year of adoption of Housing Element,"a) Opportunity Sites have been identified and a process for maintaining their visibility is in process

b) Implemented"
WESTLAKE VILLAGE,2019,Continue to provide for the reduction or modification of residential development standards for projects incorporating affordable units. This measure is related to Implementation Measure D-6.,"Facilitate and encourage the production of 59 affordable (i.e., low/moderate income) housing units.",Beginning in January 2015 and continuing over the course of the planning period,No Developer requests to date
LONG BEACH,2019,Name of Program,Objective,Timeframe in H.E,Status of Program Implementation
LONG BEACH,2019,2.5 Universal Design,Evaluate the feasibility of providing additional density bonuses or other incentives for new developments that include universal design (beyond required ADA standards) by 2017,2019,The draft Land Use Element and Urban Design Element integrate universal design into future development of the City. These plans are expected to be adopted in 2019.  The City will further evaluate bonuses or requirements for universal design through building code updates to occur subsequent to the Land Use Element adoption.
SAN FERNANDO,2019,9.  Housing Choice Voucher Assistance Program,Support HaCOLA's administration of the program to assist an average of 35 extremely low and very low income households annually.  Encourage landlords to register units; prepare bilingual HaCOLA program contact information.,Dec-21,"As of February 2020, total of 88 households are receiving Section 8 rental assistance through HaCOLA, including 45 standard housing vouchers; 38 project based vouchers; 2 continuum of care vouchers; and 3 VASH (veterans) vouchers.  City continues to work with Affordable Housing developers to refer prospective tenants to HaCOLA to apply for and/or be placed on the Section 8 voucher waiting list.  City also works with property owners recommending inclusion of their property on HaCOLA's list of registered units."
HAWTHORNE,2019,Multi-Family Acquisition and Rehabilitation,"Acquire and rehabilitated two rental units annually, targeting for occupancy by extremely low and very low income households.",Annual,"In 2018, the City did not acquire or rehabiltated any rental units.  This program continues to be available."
POMONA,2019,Program 2.20: Continue to allow intergenerational housing to be constructed in conjunction with the use of the Senior Citizen Housing Overlay district.,Review the Zoning Ordinance and amend as appropriate to faciliate intergenerational residential development (2014).,2014,Planning will continue to look for ways to incorporate intergenerational housing with the Senior Citizen Housing Overlay district.
POMONA,2019,"Program 2.1: Amend the Density Bonus Ordinance to comply with the most recent State law, and promote the use of density bonuses and related incentives to increase the supply of affordable housing.","Amend Section .520 of the Zoning Ordinance pertaining to density bonuses (2014). 

Create material outlining the provisions of the amended Density Bonus Ordinance and promoting its use with qualifying multi-family housing developments (2014). Post information on the City's website, and distribute it at the Planning Division counter and during pre-application Development Review meetings (ongoing).",2014,"The City is currently undertaking a comprehensive effort to update its Zoning Code. As part of the Zoning Code Update, the City will update the Density Bonus Ordinance (Section .520 Density Bonus) to comply with the most recent State law. The City is currently implementing the State Law for projects utilizing the Density Bonus. Once the City adopts its own ordinance, the City will provide a handout outlining and promoting the provisions of the Density Bonus Ordinance."
HAWAIIAN GARDENS,2019,5. Zoning Code Amendments to Provide a Variety of Housing Types,Amendments Adopted,"Complete the Zoning Code amendments by March 17, 2014","Zoning amendments under Ordinance 548 approved the following:
• Transitional and Supportive Housing– added definition consistent with California Health and Safety Code and added provisions that transitional and supportive housing be treated a residential uses and subject to only restrictions that apply to other residential properties of the same type in the same zone.
• Address development of a variety of types of housing for all income levels including housing for agricultural employees, supportive, single-room occupancy and transitional housing.
• Address zoning provisions for employee housing.
• Address removal of constraints to housing designated for, intended for occupancy by, or with supportive services for, persons with disabilities.”

The amendments were adopted concurrent with the Housing Element in September 2013."
HAWAIIAN GARDENS,2019,9. ELI Housing Program,Assist 188 extremely low-income households through existing programs and 4 additional households if new affordable housing is built during the planning period,"October 15, 2013 – October 15, 2021 Achieve the Developmentally Disabled Outreach Program by October 15, 2015","The needs of extremely low-income Hawaiian Gardens households are addressed within the framework of the programs administered by the City and Hawaiian Gardens Housing Authority as follows:
• Housing Rehabilitation Program- In 2018, 33 rehabilitation loans were awarded.
• Housing Choice Section 8 Rental Assistance – In 2018, 111 households received assistance through the program. 
• Mobile Home Park Preservation
• Affordable Housing Preservation"
HAWAIIAN GARDENS,2019,13. Housing Rehabilitation Program,Rehabilitate 40 housing units during the planning period,"October 15, 2013 – October 15, 2021","The Housing Rehabilitation Program includes grants and deferred housing rehabilitation loans to eligible households earning less than 80% of the Los Angeles County median income.  Eligible improvements and repairs include, but are not limited to; roofing, plumbing, heating, windows, flooring, electrical systems, interior/exterior painting, bathroom and kitchen remodels and energy conservation improvements and bedroom additions to relieve overcrowded conditions. In 2018 33 rehabilitation loans were awarded."
BEVERLY HILLS,2019,Housing Trust Fund (No. 10.3),To be used to construct or help leverage construction of affordable housing,Establish Affordable Housing Trust Fund in Fiscal Year 2014/2015,"Through development agreements, the City has negotiated approximately $3 million to be used to establish a housing trust fund.  The trust fund has been established and currently holds approximately $1.5 million."
BEVERLY HILLS,2019,Partnerships with Affordable Housing Developers (No. 10.6),Initiate partnerships with non-profit developers to assist in the development of affordable housing,"Participate in conferences, symposiums and other affordable housing events to review resources, incentives, and City goals;  Initiate a Request for Qualifications (RFQ) process within two years of the establishment and funding of the Affordable Housing Trust Fund, select a developer and pursue development of an affordable housing project",The City is conducting ongoing conversations with non-profit developers to assist with the potential affordable housing development on a City-owned parcel.
BEVERLY HILLS,2019,Adjust Development Standards (No. 12.1),Evaluate and modify development standards to encourage more affordable housing units,"Amend the Zoning Code in 2013 to include reduced minimum unit sizes as an incentive for the density bonus program;  Explore revisions to other development standards, including minimum unit sizes for all multi-family units, as supported by analysis by 2015","In 2018, the City began to study the development of a mixed-use ordinance to establish standards for mixed-use residential and commercial development projects.  It is anticipated that this study, which continues into 2019 will address needed changes to development standards to further facilitate mixed-use developments where appropriate including minimum unit sizes and parking requirements."
MAYWOOD,2019,Emergency Shelter Program,Amend the ES Overlay within six months of this Housing Element adoption to specify the separation requirement can be no more than 300 feet.,Within six months of the adoption of the Housing Element,The City will revised the Zoning Ordinance (September 2019) to establish an Emergency Shelter (ES) Overlay zone on specific properties zoned General Commercial/Manufacturing (CM).
MONTEREY PARK,2019,Program 5: Efficient Permit Processing,"Continue to offer a streamlined development process and periodically review departmental processing procedures to ensure efficient project processing.
Prioritize affordable and special needs housing for processing.
Review the MPMC within 2 years of adoption of the Housing Element to ensure compliance with State law related to zoning for transitional and supportive housing. As needed, modify zoning to be in compliance with GC §65583(a)(5) to permit transitional and supportive housing, as defined in Housing Element Law, in zones allowing residential uses as a residential use of property, subject only to those restrictions that apply to other residential dwellings of the same type in the same zone.",2014-2020,"To streamline development review, the Planning Division has implemented a policy to process plan checks within 72 hours, site plan reviews within two weeks and over-the-counter plan reviews as often as possible.
The City did not receive any affordable and special needs housing for processing.
On May 6, 2015, the City updated its zoning ordinance to allow for transitional and supportive housing as follows: (1)Sober living facilities with 6 or less persons are permitted within R-1, R-2, and R-3 zones; and (2) supportive housing, licensed for 7 persons is permitted subject to approval of a conditional use permit within the R-3 zone.
In 2017, the City amended its Municipal Code to allow for secondary units pursuant to Government Code Section 65852.2.
In 2018, 4 secondary unit permits were issued."
VERNON,2019,Goal H-1,"Ensure that all housing units are mainytained in decent, safe, and sanitary condition",*,*
VERNON,2019,GOAL H-3,"Continue to promote the availability of a range in existing unit types and sizes, and equal housing opportunity in the City’s housing market on the basis of age, race, sex, marital status, ethnic background, source of income, and other factors",*,*
DUARTE,2019,Affordable Housing Development Assistance,Provide regulatory incentives and available financial assistance.  Create and disseminate an Affordable Housing brochure.  Amend the Code to provide incentives for ELI units,Completed brochure and Code Amendment in 2014,The City sold three lots on Huntington Drive to a developer for development of a major mixed-use project which contains 161 apartment units.  Revenue from the property sale will be deposited into the Housing Authority Fund and be used to support affordable housing in the City.
DUARTE,2019,Homeowner Assistance,Develop brochure identifying available homebuyer programs.  Apply to State in conjunction with future City assisted workforce housing.,Developed brochures in 2014.  Apply to State as workforce projects as proposed.,"Through the State and County programs, Duarte's first-time homebuyers have access to various affordable homebuyer programs.  The Cty offers information and referral to the State and County programs through it's brochure and handouts."
WEST HOLLYWOOD,2019,HE13 - Affordable Housing Development through Partnerships with Non-Profits,"Continue to support WHCHC and other non-profit organizations in the development of affordable and special needs housing through the provision of financial and regulatory incentives.  Devise incentives for the development of housing for extremely low and low income households including persons with disabilities, for example, explore the feasibility of fee incentives.","2013-2021 
(ongoing)","In 2019, twelve affordable housing units (two very low, four low, six moderate) were created through the City's affordable housing requirements for new development which were gifted to a non-profit to own and operate. The twelve units will provide needed housing in an area of West Hollywood that currently has few affordable housing opportunities. The twelve units also represent full recapture of the natually occurring affordable housing that existing on the project site prior to demolition."
WEST HOLLYWOOD,2019,HE20 - Fee Waivers for Affordable Housing,"Continue to waive art, park, and transportation fees for residential projects with 25 percent or more affordable units. Continue to waive all City-imposed plan check and other fees for nonprofit-sponsored projects are 100 percent affordable. Review the City’s various planning and development fees, as was done in 2006 and 2010, to ensure they are reasonable and do not unduly constrain housing development.","2013-2021 
(ongoing)",The City continues to waive all hard-cost fees on a project basis for non-profit affordable housing projects.
WEST HOLLYWOOD,2019,HE22 - Tenant/Landlord Mediation,"Continue to offer the mediation program and promote the program through information on City website, program brochures at public counters, social media, and other innovative communication tools.","2013-2021 
(ongoing)","In 2019, the Legal Services Division Mediator spoke with approximately 1,000 residents and resolved arond 400 conflicts through a combination of telephone conciliations and face-to-face mediation. The City continues to provide information about mediation services on the City's website and program brochures at public counters."
CUDAHY,2019,Housing Cooperating Program,"The City shall work with Los Angeles County to identify and coordinate water and sewer infrastructure on the provision of adequate infrastructure and public services in Cudahy, including monitoring for grant funding sources, to meet the City’s RHNA.",Ongoing/Monitoring,"Infrastructure availability is an integral part of maintaining a high quality of life for residents. In addition, consistent with the General Plan Implementation program, the City will establish permit tracking program by June 2019 that monitors new development and the redevelopment of existing uses that increase the number of residential unit and/or nonresidential square footage. This program was renamed and updated to address continued coordination with the County and ongoing development tracking.  2018 Housing Element Program 13."
CUDAHY,2019,Bilingual Program,The production of documents and publications that are both in English and Spanish.,Ongoing (monitored annually),Public participation is a priority for the City. This program will be combined with the Public Participation program in the updated Housing Element.  The City will continue to actively produce documents and publications that are in both English and Spanish.
CUDAHY,2019,part of line above,part of line above,part of line above,A program addressing affordable housing at risk of conversion to market rate was included in the updated Housing Element.  The details of this program are to be merged with the At-Risk Housing Preservation Program.
WEST HOLLYWOOD,2019,HE6 - Rent Stabilization Ordinance,"Continue to maintain a Rent Stabilization program, and work towards alleviating the effects of State mandated vacancy decontrol through legislative action and local incentives to maintain affordable rents. In 2014, explore the issues of aging in place for elderly and disabled persons and find solutions such as a legislative change to allow for unit swapping as an exemption under Costa-Hawkins. By 2015, conduct a review of the Net Operating Income (NOI) mechanism to determine its effectiveness. Continue to conduct workshops to educate landlords and tenants on matters related to the Rent Stabilization Ordinance, including topics such as property maintenance, registration, mediation, and evictions.","2013-2021 
(ongoing)","In 2019, the City continued to administer the rent stabilization program. City staff worked with the City's legislative advocate to monitor legislation that would impact the City's rent stabilization program. The City meets twice a year with other rent stabilized jurisdictions in the State. In 2019, the City held its 6th annual Building Blocks Education Series. The educational seminars were initiated in 2013 as a way of informing property managers, owners, landlords, and tenants about Rent Stabilization requirements. The City offers two seminar series, one targeted at tenants, and the other at landlords. In 2019, the City continued to implement the Aging in Place Strategic Plan. The Strategic Plan uses a multidisciplinary approach to aging in place through the lens of West Hollywood, where many seniors are long-term renters in rent stabilized units."
BELL,2019,Program 8  Review of Governmental Constraints and the Zoning Ordinance.,"The Zoning Ordinance is being updated.  Following the updating of the Zoning Ordinance, the Community Development Department will review and, and if necessary, revise the Zoning Ordinance on an annual basis to ensure that no additional housing constraints are associated with the implementation of the Zoning Ordinance.","The City’s Zoning Ordinance is being amended and is scheduled for adoption in 2020.  Following the adoption, the Zoning Ordinance will be reviewed on an annual basis during the 1st Quarter of 2020.",The City is planning to amend the Zoning Ordinance to comply with State Law by December 2020.
BELL,2019,Program 14  Single Room Occupancy Housing Program.,The City of Bell Community Development Department will ensure the appropriate Zoning Ordinance section related to SRO housing are updated so they conform to State Law.,The program will be implemented in Spring 2021.,The City is planning to amend the Zoning Ordinance to comply with State Law by December 2020.
CARSON,2019,First Time Home Buyers Program,Provide the first time home buyers with down payment assistance,Annually,Program did not operate in 2019.
CARSON,2019,Mortgage Credit Certificate Program,Assist first time home buyers via federal tax credits to qualify for a mortgage loan,Annually,On-going coordination with lenders to assist first-time home buyers
HUNTINGTON PARK,2019,#1-Code Enforcement,"The Code Enforcement Program is designed to bring properties
up to City Code requirements and to clean up and improve unsightly or unsafe properties. Referral to housing rehabilitation assistance
programs provide financial assistance to qualifying households to bring homes into compliance.",The program is ongoing and will be continued,"Under this Housing Element, the program will be continued over the entire planning period applicable to this Housing Element update. -In calendar year 2019, Code Enforcement closed a total of 205 code violation cases. These cases included a mix of building code violations, building maintenance, illegal units, property maintenance and referrals."
HUNTINGTON PARK,2019,#2-Emergency Shelter,"As required by SB-2, the City will provide for an Emergency Shelter Program that includes the identification of a geographic area where such facilities will be permitted by right. The City will continue to inform those special service agencies and organizations of the grants through mailing and brochures.",The program is ongoing and will be continued.,"The City of Huntington Park does not administer a homeless prevention program; however two local homeless providers, the Southeast Churches Service Center (partially funded with CDBG funds) and the Salvation Army Southeast Communities, both provide a referral service and transportation to the nearby Salvation Army Bell Shelter in the city of Bell. The City’s Zoning Code currently allows emergency shelter to be located within its City limits.  To further these uses, the City revised its Zoning Code in 2009 to identify emergency shelters as a permitted use in the MPD zone. -Ongoing supportive services continued in calendar year 2019.  The Huntington Park Police Department (HPPD) is part of the Southeast Regional Mental Evaluation Team (SERMET), a successful mental health and homeless outreach partnership with the Los Angeles County Department of Mental Health. SERMET facilitates for police officers and mental health clinicians to work together, to provide support and resources to the mentally ill and homeless population in the community. Resources include outreach, referral services to other institutions, and assistance with housing.   - The City provided CDBG funding to the Salvation Army in FY 2018/19.  Homeless individuals or families and those at-risk of homelessness had the opportunity to get connected to supportive services, treatments, public resources and support groups through the Salvation Army."
HUNTINGTON PARK,2019,#9-Density Bonus,"This new program provides for the incorporation of density
bonuses and other incentives in the City’s Zoning Ordinance to developers who construct projects with qualifying percentages of affordable housing units.",Unknown,"The City has adopted a “Density Bonus Ordinance (Section 9-3.203 [Allowable Bonuses]).  -In calendar year 2019, zero (0)  DBO deed restricted affordable housing projects were reported."
HUNTINGTON PARK,2019,#13-Supportive Housing,The State requires all cities to update their zoning ordinances to provide for supportive housing. Supportive housing refers to permanent rental housing that also provides a wide array of support services that are designed to enable residents to maintain stable housing and lead more productive lives.,Unknown,The City of Huntington Park will permit supportive housing within all of the residential Zone districts. Such housing is already located in the City though this program will enable the Huntington Park Planning Department and other City agencies to better track and monitor such uses. -No Action in calendar year 2019.
LA VERNE,2019,Program 11: Housing for Persons with Development Disabilities,Update to Development Regulatory Requirements,2014,"Zoning Code amendment Ord. 1040; the ordinance included standards, definitions, and new chapters to address new state-mandated requirements per SB 2"
LA VERNE,2019,Program 13: Remove Development Contstraints,Ongoing Review of Development standards and design review findings,"Ongoing, 2014-2021","In the process of a comprehensive Zoning Code Update. The Zoning Code update includes updates in compliance with recent state-mandated requirements, clean-up of inconsistent sections, and clarity on confusing and contradictory standards"
LA VERNE,2019,Program 14: Mobile Home Rent Control,Continue enforcement of existing Mobile home rent control ordinance,2018,Updated Municipal Code for rent control through Ord. 1082; the ordinance provided for stronger standards and process to futher control rent within sensitive Mobile Home Park Zoned districts within La Verne
LA VERNE,2019,Program 15: Second Units,Update existing Second-Unit Law to comply with State-Law,2017,Updated Zoning Code per Ord. 1089; in compliance with recent ADU law
CULVER CITY,2019,The Neighborhood Preservation Program (NPP),1.I,Reintroduce,"Due to DOF (Department of Finance) approval of ERAF payments, this program is being re-introduced in the 2018/2019 FY.  Neighborhood Preservation Grants of up to $5,000 are provided to multi-family property owners who will lease to a Section 8 or homeless household. Healthy and Safe Senior Grants of up to $1,500 are provided to low income seniors to address life safey and code enforcment violations.."
CULVER CITY,2019,Comprehensive Housing Strategy (CHS)/Redevelopment Site Study,2.F,Complete,"Due to the elimination of re-development funding years 1 & 2 were completed which include: Culver Villas: 12 affordable ( 3 low income/ 9 moderate income); Tilden Terrace: 32 affordable ( 12 moderate income/ 6 low income/ 14 very low income); Globe Ownership Housing: 10 affordable and workforce units ( 4 low income/ 4 moderate income/ 2 workforce units). For the 2019-20 FY, $2 million is earmarked to support affordable housing production and the implementation of an ADU Incentive Program."
CULVER CITY,2019,Work Force Housing,2.J,Eliminated,Program eliminated due to lack of funding.
MALIBU,2019,"Program 1.2 – Rebuilding Assistance
Expedite permit processing and provide special assistance to homeowners seeking to repair or rebuild homes that have been lost or damaged in a fire, flood or other disaster, especially units that accommodate low- and moderate-Income households, elderly, disabled, large families, single heads of households, farm workers, individuals in need of emergency shelter, and other individuals or household types with special needs, unless those units are located in areas that are physically unsuitable for development.",Facilitate rebuilding of lost or damaged homes,Throughout the planning period,In progress - MMC and LCP amendments have been proposed and adopted or are in progress to expedite permit processing for seeking to repair or rebuild homes that have been affected by the Woolsey Fire and/or related flooding and debris flow.
MALIBU,2019,"Program 1.4 – Preserve Existing Mobile Home Parks
Maintain the Mobile Home Park Rent Control Regulations Ordinance that regulates maximum allowable rents and limits rent increases. Pursuant to the provisions of Government Code §65863.7, require the submittal of a report detailing the impacts of any proposed mobile home park conversion to a nonresidential use concurrent with the filing of any discretionary permit on such property and impose reasonable mitigation measures upon the park owners.",No net loss of mobile home units,Throughout the planning period,Ongoing – no mobile home parks were proposed for conversion in 2018.
MALIBU,2019,"Program 3.2 – Provide Financial Support and Referral Information to Persons in Need of Assistance
Malibu is a small jurisdiction without a redevelopment agency or housing department and is not an entitlement jurisdiction for federal grants. Therefore, the City does not have any resources for direct financial housing assistance, other than a small Affordable Housing Trust Fund and Community Development Block Grant (CDBG) funds. The City will provide referral information to extremely-low-, very-low-, low-, and moderate-income persons and families, the elderly, and persons with disabilities regarding affordable and special needs housing, such as Section 8 Rental Assistance and the Mortgage Credit Certificate program.  In addition, it will continue to seek CDBG and HOME funds. 
a. Affordable Housing Trust Fund. Maintain an Affordable Housing Trust Fund and use the proceeds to leverage other sources of funding for affordable housing. 
b. State and Federal Grants. Where feasible, seek state and federal grant funds, such as CDBG and HOME, in order to provide support for affordable housing activities. 
c. Section 8 Rental Assistance. Provide referral information to low-income persons seeking rental assistance by publicizing the program in flyers posted at City Hall, the City’s website and other public locations.
d. Mortgage Credit Certificates. Provide referral information regarding the mortgage credit certificate program to homebuyers by publicizing the program in flyers posted at City Hall, the City website and other public locations.",Disseminate housing assistance information; provide direct funding in support of affordable housing when feasible,"The City’s Housing Coordinator has responsibility for monitoring all activities related to Housing Element implementation, including preparation of annual progress reports, annual monitoring of sources of financial assistance such as Section 8, state/federal grants, and mortgage credit certificates. The Housing Coordinator shall also be responsible for disseminating information to the community regarding this activities and resources. 
Depending on program availability and City eligibility, apply for state/federal funds on a bi-annual basis to assist affordable housing development.","The City received $46,594 of CDBG funding as part of the Urban County Entitlement program in fiscal year 2017-2018. These funds are utilized within the community to facilitate public service projects benefitting low and moderate income families. For example, the City typically allocates about $7,000 for the Malibu Community Labor Exchange and in 2018 provided $50,000 for earthquake preparedness packets for seniors.  In addition, in the 2018 fiscal year, the City over $300,000 directly addressing homelessness."
MALIBU,2019,"Program 4.1 – Monitor and Report Annually on Housing Program Accomplishments
The City will monitor accomplishments toward Housing Element objectives and report annually to the City Council and California Department of Housing and Community Development. If implementation measures are ineffective in achieving desired results, adjustments will be made to improve the efficacy of programs.",Monitor progress and make mid-course corrections if necessary to achieve desired results,Annual progress reports,The City continued to monitor Housing Element programs and report progress annually.
SAN MARINO,2019, Permanent Accessory Dwelling Unit Ordinance,"Considered changes to the code, policies and/or fees that would facilitate second unit construction and conversion of existing accessory structures into second units.",2019,"In response to recent legislation, the City's second unit ordinance has been updated to meet current state requirements.  The new requirements remove the barrier to construction related to providing additional parking.    An interim ordinance was adopted in 2017 but replaced in December 2017 with the permanent ADU Ordinance. The new ADU Ordinance included a new provision that requires the side yard setback to be equal to the rear yard setback.  This was a recommendation from the 2014 Housing Element. In December 2019, the City Council adopted Ordinance No. 19-1359-U, which conforms with new state laws (AB68, AB587, AB881 and SB13.)"
SAN MARINO,2019, Transitional housing,"Update the zoning code to address the provision of transitional housing and supportive housing as residential uses, to be permitted in the same manner as similar uses in the same zone.",2014,Not yet completed
SAN MARINO,2019, SRO housing,Update the zoning code to address the provision of single-room occupancy housing as a conditionally permitted use in the C-1 zone,2014,Not yet completed
CALABASAS,2019,Fair Housing Program,"Contract with the Housing Rights Center (HRC) to promote open and fair housing practices, and to facilitate communication between tenants and landlords. Assist in program outreach through referrals and distribution of educational info.",2014-2021; Include fair housing information in Affordable Housing brochure in 2014.,The City has contracted with HRC to promote open and fair housing practices. Information has been made available on the City's website.
LA CANADA FLINTRIDGE,2019,Condominium Conversion Ordinance,Addresses impact of conversion,Continuous,On-going. No action in 2019
LA CANADA FLINTRIDGE,2019,Housing Choice Voucher Program,Section 8 rent subsidies,Continuous,on-going
NORWALK,2019,"Category #1, Program 4.1-4.5: Zoning Ordinance Amendments to Encourage a Variety of Housing Types",Complete Zoning Ordinance amendments to encourage a variety of housing types.,1/1/15,"Program 4 was continuously implemented during 2019 and will continued throughout the 2013-2021 planning period.  The City will continue to work on ordinances that encourage a variety of housing types.  
In 2018, the City revised its accessory dwelling unit ordinance (Ordinance No. 18-1701) to allow for greater flexibility for property owners to create accessory dwelling units."
NORWALK,2019,"Category #2, Program 7: Affordable Housing Developer Partnership Program",Promotion of housing for low and moderate income households.,1/1/15,"Program 7 was implemented in 2019 with four (4) HOME-funded projects completed. 
In 2019, the City worked with a non-profit housing development company, to develop affordable, homeownership housing using HOME funds.  
Further, the City made strides with a housing developer to create affordable multi-family housing on City owned property for 60 units of extremely low, very low, and low income households."
