JURISDICTION,COUNTY,YEAR,APN,STREET_ADDRESS,PROJECT_NAME,JURS_TRACKING_ID,REZONE_DT,VLOW_INCOME,LOW_INCOME,MOD_INCOME,ABOVE_MOD_INCOME,SHORTFALL_DESC,PARCEL_SIZE,GEN_PLAN_DESIGNATION,ZONING,MIN_DENSITY_ALLOWED,MAX_DENSITY_ALLOWED,REALISTIC_CAPACITY,PARCEL_VACANT_NONVACANT,PARCEL_DESC
CUDAHY,LOS ANGELES,2018,6226021012,not available,,,3/18/2018,22,,,,Shortfall of Sites,0.93,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226024020,not available,,,3/18/2018,22,,,,Shortfall of Sites,0.93,High Density Residential,High Density Residential,20,40,22,Non-Vacant,10 dwelling units
CUDAHY,LOS ANGELES,2018,6226025006,not available,,,3/18/2018,13,,,,Shortfall of Sites,0.52,High Density Residential,High Density Residential,20,40,13,Non-Vacant,3 dwelling units
CUDAHY,LOS ANGELES,2018,6226031030,not available,,,3/18/2018,20,,,,Shortfall of Sites,0.83,High Density Residential,High Density Residential,20,40,20,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018009,not available,,,3/18/2018,1,,,,Shortfall of Sites,0.08,Mixed Use/Commercial,Mixed Use/Commercial,1,40,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018010,not available,,,3/18/2018,4,,,,Shortfall of Sites,0.26,Mixed Use/Commercial,Mixed Use/Commercial,1,40,4,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6225018011,not available,,,3/18/2018,7,,,,Shortfall of Sites,0.39,Mixed Use/Commercial,Mixed Use/Commercial,1,40,7,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022900,not available,,,3/18/2018,1,,,,Shortfall of Sites,0.03,Mixed Use/Commercial,Mixed Use/Commercial,1,40,1,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022901,not available,,,3/18/2018,3,,,,Shortfall of Sites,0.2,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022902,not available,,,3/18/2018,3,,,,Shortfall of Sites,0.17,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
CUDAHY,LOS ANGELES,2018,6226022903,not available,,,3/18/2018,3,,,,Shortfall of Sites,0.19,Mixed Use/Commercial,Mixed Use/Commercial,1,40,3,Vacant,undeveloped
SOUTH EL MONTE,LOS ANGELES,2019,8102028005,Garvey Ave,Garvey & Humbert,,10/1/2019,17,,,,Unaccommodated Need,0.58,Mixed Use,CR,30,87,30,Non-Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2019,8581015043,Garvey Ave,Garvey & Adelia,,10/1/2019,19,,,,Unaccommodated Need,0.64,Mixed Use,CR,30,110,30,Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2019,8116027047,Santa Anita Ave,Santa Anita/ Fawcett,,4/1/2020,69,,,,Unaccommodated Need,2.3,Mixed Use,CR,30,35,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2019,8118019008,Santa Anita Ave,Santa Anita/ Fawcett,,4/1/2020,72,,,,Unaccommodated Need,2.4,Mixed Use,CR,30,35,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2019,8581015011,Garvey Ave,Garvey & Adelia,,10/1/2019,4,,,,Unaccommodated Need,0.14,Mixed Use,CR,30,110,30,Vacant,
SAN JUAN CAPISTRANO,ORANGE,2020,121-070-67,Oso Road,Oso Ranch Planned Community,,11/2/2002,125,105,,,No Net Loss,8.4,PC,PC,18.1 du/ac,30 DU/AC,252,Vacant,Vacant site accommodating no net loss from Ventanas site. 30% of 28 ac site Designated for Very High Density Residential.
BRISBANE,SAN MATEO,2020,005212100,25 Park Place,Parkside Overlay,,2/1/2018,17,18,,,Shortfall of Sites,1.25,PRTC,PAOZ-1,20,28,35,Non-Vacant,Office
BRISBANE,SAN MATEO,2020,005202160,43 Park Place,Parkside Overlay,,2/1/2018,15,16,,,Shortfall of Sites,1.11,PRTC,PAOZ-1,20,28,31,Non-Vacant,Office
BRISBANE,SAN MATEO,2020,005190100,145 Park Lane,Parkside Overlay,,2/1/2018,40,40,,,Shortfall of Sites,2.87,PRTC,PAOZ-2,20,28,80,Non-Vacant,Warehouse
BRISBANE,SAN MATEO,2020,005202200,91-99 Park Lane,Parkside Overlay,,2/1/2018,25,26,,,Shortfall of Sites,1.85,PRTC,PAOZ-2,20,28,51,Non-Vacant,Warehouse
BRISBANE,SAN MATEO,2020,005202150,105-115 Park Lane,Parkside Overlay,,2/1/2018,29,30,,,Shortfall of Sites,2.13,PRTC,PAOZ-2,20,28,59,Non-Vacant,Warehouse
BRISBANE,SAN MATEO,2020,005202210,280 Old County Road,Parkside Overlay,,2/1/2018,21,21,,,Shortfall of Sites,1.5,PRTC,PAOZ-1,20,28,42,Non-Vacant,Office/Warehouse
SOUTH EL MONTE,LOS ANGELES,2020,8581015043,Garvey Ave,Garvey & Adelia,,10/1/2019,19,,,,Unaccommodated Need,0.64,Mixed Use,CR,30,110,30,Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2020,8102028005,Garvey Ave,Garvey & Humbert,,10/1/2019,17,,,,Unaccommodated Need,0.58,Mixed Use,CR,30,87,30,Non-Vacant,operating business
SOUTH EL MONTE,LOS ANGELES,2020,8116027047,Santa Anita Ave,Santa Anita/ Fawcett,,4/1/2020,69,,,,Unaccommodated Need,2.3,Mixed Use,CR,30,35,30,Vacant,
SOUTH EL MONTE,LOS ANGELES,2020,8118019008,Santa Anita Ave,Santa Anita/ Fawcett,,4/1/2020,72,,,,Unaccommodated Need,2.4,Mixed Use,CR,30,35,30,Non-Vacant,"commercial , mixed use"
SOUTH EL MONTE,LOS ANGELES,2020,8581015011,Garvey Ave,Garvey & Adelia,,10/1/2019,4,,,,Unaccommodated Need,0.14,Mixed Use,CR,30,110,30,Vacant,
POWAY,SAN DIEGO,2020,31710102,13020 Poway Road,,,12/5/2017,14,8,,,No Net Loss,0.88,Planned Community (PC),PC-8,N/A,35 du/ac,26,Non-Vacant,Commercial Shopping Center
POWAY,SAN DIEGO,2020,31747305,13119 Bowron Road,,,12/5/2017,5,3,,,No Net Loss,0.35,Planned Community (PC),PC-8,N/A,35 du/ac,10,Non-Vacant,Commercial Shopping Center;
POWAY,SAN DIEGO,2020,31710111,13210 Poway Road,,,12/5/2017,45,26,,,No Net Loss,2.71,Planned Community (PC),PC-8,N/A,35 du/ac,81,Non-Vacant,Commercial Shopping Center;
POWAY,SAN DIEGO,2020,31747302,13205 Poway Road,,,12/5/2017,10,5,,,No Net Loss,0.62,Planned Community (PC),PC-8,N/A,35 du/ac,18,Non-Vacant,Commercial Shopping Center
POWAY,SAN DIEGO,2020,31747303,13215 Poway Road,,,12/5/2017,3,2,,,No Net Loss,0.2,Planned Community (PC),PC-8,N/A,35 du/ac,6,Non-Vacant,Commercial Shopping Center
BELL,LOS ANGELES,2020,6326-035-901,7020 Atlantic Avenue,Zone Text & Map Amendment No. 2020-01,,5/27/2020,16,,,,Shortfall of Sites,0.08,Commercial,Mixed Use Overlay Zone (MUOZ),"1 unit may be located for each 1,452 square feet of lot area.","1 unit may be located for each 1,452 squae feet of lot area.",16,Vacant,A C-3 zone with existing commercial buildings that serve as a car wash.
BELL,LOS ANGELES,2020,6325-035-902,7030 Atlantic Avenue,Zone Text & Map Amendment No. 2020-01,,5/27/2020,16,,,,Shortfall of Sites,0.47,Commercial,Mixed Use Overlay Zone (MUOZ),"1 unit may be located for each 1,452 square feet of lot area.","1 unit may be located for each 1,452 sqaure feet of lot area.",16,Vacant,A C-3 zone with existing commercial buildings that serve as a car wash.
COACHELLA,RIVERSIDE,2020,778-170-011,not available,,,10/14/2020,300,500,,,Shortfall of Sites,32.66,Subarea 6 Downtown Expansion,"Residential, MF",25 DU/AC,38 du/ac,800,Vacant,Manufacturing Service + Residential Multi Family
COACHELLA,RIVERSIDE,2020,778-180-003,not available,,,10/14/2020,300,525,,,Shortfall of Sites,33.85,Subarea 6 Downtown Expansion,"Residential, MF",25 DU/AC,38 du/ac,825,Vacant,Manufacturing Service + Residential Multi Family
COACHELLA,RIVERSIDE,2020,778-180-004,not available,,,10/14/2020,500,525,,,Shortfall of Sites,41.36,Subarea 6 Downtown Expansion,"Residential, MF",25 DU/AC,38 du/ac,1025,Vacant,Manufacturing Service + Residential Multi Family
COACHELLA,RIVERSIDE,2020,778-191-002,not available,,,10/14/2020,400,825,,,Shortfall of Sites,49.96,Subarea 6 Downtown Expansion,"Residential, MF",25 DU/AC,38 du/ac,1225,Vacant,Manufacturing Service + Residential Multi Family
ROLLING HILLS,LOS ANGELES,2021,7569-022-900,38 Crest Road W,PVUSD School Site,,2/22/2021,8,7,,,Shortfall of Sites,31.14,Very Low Density Residential,Residential Agricultural Suburban,1,2,56,Non-Vacant,Institutional uses
ROLLING HILLS,LOS ANGELES,2021,7569-022-900,38 Crest Road W,PVUSD School Site,,2/22/2021,8,7,,,Shortfall of Sites,31.14,Very Low Density Residential,Residential Agricultural Suburban,1,2,56,Non-Vacant,Institutional uses
MERCED,MERCED,2021,058-470-001,Devonwood Dr,Devonwood Apartments,,8/16/2021,78,78,,,No Net Loss,6.39,HD,P-D 16,153,230,156,Vacant,
WOODLAND,YOLO,2020,005-060-044,"West of N. East Street, South of Woodland Avenue",,,5/1/2018,54,100,,,Unaccommodated Need,4.82,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,154,Vacant,
WOODLAND,YOLO,2020,064-170-049,310 W. Main Street,,,5/1/2018,66,120,,,Unaccommodated Need,5.82,Corridor Mix Use,Corridor Mix Use - West Main,20 dwelling units per acre,40 dwelling units per acre,186,Vacant,
WOODLAND,YOLO,2020,064-010-037,390 W. Kentucky Avenue,,,5/1/2018,142,263,,,Unaccommodated Need,12.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,405,Non-Vacant,"Pumps, tanks, filtration equipment and pipes are stored on property's west side and the property is used as a warehouse for Rain for Rent, Inc.  East side of property is vacant."
WOODLAND,YOLO,2019,063-071-015,"North of Armfield Avenue, between B and C Streets",,,5/1/2018,28,50,,,Unaccommodated Need,2.46,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,78,Non-Vacant,Site is utilized as an auto and truck repair service storage.
WOODLAND,YOLO,2019,063-060-006,"North of Armfield Avenue, between C and D Streets",,,5/1/2018,34,62,,,Unaccommodated Need,3.03,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,96,Vacant,
WOODLAND,YOLO,2019,005-720-000,"South of Kentucky Avenue, West of N. Cleveland Street",,,5/1/2018,41,76,,,Unaccommodated Need,3.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,117,Vacant,
WOODLAND,YOLO,2019,005-060-044,"West of N. East Street, South of Woodland Avenue",,,5/1/2018,54,100,,,Unaccommodated Need,4.82,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,154,Vacant,
WOODLAND,YOLO,2019,064-170-049,310 W. Main Street,,,5/1/2018,66,120,,,Unaccommodated Need,5.82,Corridor Mix Use,Corridor Mix Use - West Main,20 dwelling units per acre,40 dwelling units per acre,186,Vacant,
WOODLAND,YOLO,2019,064-010-037,390 W. Kentucky Avenue,,,5/1/2018,142,263,,,Unaccommodated Need,12.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,405,Non-Vacant,"Pumps, tanks, filtration equipment and pipes are stored on property's west side and the property is used as a warehouse for Rain for Rent, Inc.  East side of property is vacant."
WOODLAND,YOLO,2021,063-071-015,"North of Armfield Avenue, between B and C Streets",,,5/1/2018,28,50,,,Unaccommodated Need,2.46,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,78,Non-Vacant,Site is utilized as an auto and truck repair service storage.
WOODLAND,YOLO,2021,063-060-006,"North of Armfield Avenue, between C and D Streets",,,5/1/2018,34,62,,,Unaccommodated Need,3.03,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,96,Vacant,
WOODLAND,YOLO,2021,005-720-000,"South of Kentucky Avenue, West of N. Cleveland Street",,,5/1/2018,41,76,,,Unaccommodated Need,3.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,117,Vacant,
WOODLAND,YOLO,2021,005-060-044,"West of N. East Street, South of Woodland Avenue",,,5/1/2018,54,100,,,Unaccommodated Need,4.82,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,154,Vacant,
WOODLAND,YOLO,2021,064-170-049,310 W. Main Street,,,5/1/2018,66,120,,,Unaccommodated Need,5.82,Corridor Mix Use,Corridor Mix Use - West Main,20 dwelling units per acre,40 dwelling units per acre,186,Vacant,
WOODLAND,YOLO,2021,064-010-037,390 W. Kentucky Avenue,,,5/1/2018,142,263,,,Unaccommodated Need,12.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,405,Non-Vacant,"Pumps, tanks, filtration equipment and pipes are stored on property's west side and the property is used as a warehouse for Rain for Rent, Inc.  East side of property is vacant."
WOODLAND,YOLO,2021,063-071-015,"North of Armfield Avenue, between B and C Streets",,,5/1/2018,28,50,,,Unaccommodated Need,2.46,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,78,Non-Vacant,Site is utilized as an auto and truck repair service storage.
WOODLAND,YOLO,2021,063-060-006,"North of Armfield Avenue, between C and D Streets",,,5/1/2018,34,62,,,Unaccommodated Need,3.03,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,96,Vacant,
WOODLAND,YOLO,2021,005-720-000,"South of Kentucky Avenue, West of N. Cleveland Street",,,5/1/2018,41,76,,,Unaccommodated Need,3.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,117,Vacant,
WOODLAND,YOLO,2021,005-060-044,"West of N. East Street, South of Woodland Avenue",,,5/1/2018,54,100,,,Unaccommodated Need,4.82,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,154,Vacant,
WOODLAND,YOLO,2021,064-170-049,310 W. Main Street,,,5/1/2018,66,120,,,Unaccommodated Need,5.82,Corridor Mix Use,Corridor Mix Use - West Main,20 dwelling units per acre,40 dwelling units per acre,186,Vacant,
WOODLAND,YOLO,2021,064-010-037,390 W. Kentucky Avenue,,,5/1/2018,142,263,,,Unaccommodated Need,12.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,405,Non-Vacant,"Pumps, tanks, filtration equipment and pipes are stored on property's west side and the property is used as a warehouse for Rain for Rent, Inc.  East side of property is vacant."
WOODLAND,YOLO,2018,064-170-049,310 W. Main Street,,,5/1/2018,66,120,,,Unaccommodated Need,5.82,Corridor Mix Use,Corridor Mix Use - West Main,20 dwelling units per acre,40 dwelling units per acre,186,Vacant,
WOODLAND,YOLO,2020,063-071-015,"North of Armfield Avenue, between B and C Streets",,,5/1/2018,28,50,,,Unaccommodated Need,2.46,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,78,Non-Vacant,Site is utilized as an auto and truck repair service storage.
WOODLAND,YOLO,2020,063-060-006,"North of Armfield Avenue, between C and D Streets",,,5/1/2018,34,62,,,Unaccommodated Need,3.03,Corridor Mix Use,Corridor Mix Use - East,20 dwelling units per acre,40 dwelling units per acre,96,Vacant,
WOODLAND,YOLO,2020,005-720-000,"South of Kentucky Avenue, West of N. Cleveland Street",,,5/1/2018,41,76,,,Unaccommodated Need,3.68,Corridor Mix Use,Corridor Mix Use - Kentucky,20 dwelling units per acre,40 dwelling units per acre,117,Vacant,
AMADOR COUNTY,AMADOR,2018,044-100-027,n/a,Wicklow,044-100-027,10/4/2016,0,0,0,0,No Net Loss,31,Res. Medium Desntiy,High-Density Multi-family,9 DU/AC,25 DU/AC,775,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,11270013000,n/a,Matulich,11270013000,10/4/2016,0,0,0,0,No Net Loss,5,Special Planning Area,High-Density Multi-family,0.2 DU/AC,18 DU/AC,90,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,11270015000,n/a,Matulich,11270015000,10/4/2016,0,0,0,0,No Net Loss,5,Special Planning Area,High-Density Multi-family,0.2 DU/AC,18 DU/AC,90,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,11270016000,n/a,Matulich,11270016000,10/4/2016,0,0,0,0,No Net Loss,5,Special Planning Area,High-Density Multi-family,0.2 DU/AC,18 DU/AC,90,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,11270017000,n/a,Matulich,11270017000,10/4/2016,0,0,0,0,No Net Loss,5,Special Planning Area,High-Density Multi-family,0.2 DU/AC,18 DU/AC,90,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,11270018000,n/a,Matulich,11270018000,10/4/2016,0,0,0,0,No Net Loss,5,Special Planning Area,High-Density Multi-family,0.2 DU/AC,18 DU/AC,90,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,33480046000,n/a,Mace Meadows,33480046000,10/4/2016,0,0,0,0,No Net Loss,1.5,Res. Low Density,High-Density Multi-family,9 DU/AC,25 DU/AC,37,Vacant,Vacant
AMADOR COUNTY,AMADOR,2018,33480047000,n/a,Mace Meadows,33480047000,10/4/2016,0,0,0,0,No Net Loss,2.48,Res. Low Density,High-Density Multi-family,9 DU/AC,25 DU/AC,62,Vacant,Vacant
WOODSIDE,SAN MATEO,2018,069-250-080,2150 Greenways Drive,Greenways,LDIV2017-0002,5/8/2018,2,,,2,Unaccommodated Need,1,Residential,RR to R-1 (rezone),2,4,4,Non-Vacant,Single family residential
CALABASAS,LOS ANGELES,2018,2068-005-012 & 2068-005-011,23480 Park Sorrento,Raznick Mixed Use,150000964,2/14/2018,5,,,37,No Net Loss,1.93,Mixed Use,Commercial Mixed Use 0.95,20,20,45,Non-Vacant,Office
UNION CITY,ALAMEDA,2018,87-11-17-7,Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,,,29,Shortfall of Sites,2,R10-17,RM2500,10 du/ac,17du/ac,29,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,87-11-15-15,Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,,,98,Shortfall of Sites,6.8,R10-17,RM2500,10 du/ac,17du/ac,98,Non-Vacant,SFR
UNION CITY,ALAMEDA,2018,87-11-15-14,Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,,,121,Shortfall of Sites,8.34,R10-17,RM2500,10 du/ac,17du/ac,121,Vacant,
UNION CITY,ALAMEDA,2018,87-11-16-3,Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,,,20,Shortfall of Sites,1.35,R10-17,RM2500,10 du/ac,17du/ac,20,Vacant,
UNION CITY,ALAMEDA,2018,"87-11-17-6, 87-11-15-15, 87-11-15-14",Alvarado-Niles Rd,PR-4,"AG-15-001, A-15-001",1/26/2016,,,,79,Shortfall of Sites,20.22,R3-6,RS6000,3 du/ac,6 du/ac,79,Vacant,Capacity before upzoning
UNION CITY,ALAMEDA,2018,483-10-22-3,3995 Smith Street,Smith St/UCB,A-18-001,4/28/2018,,8,,10,Shortfall of Sites,0.71,R17-30,RM1500-HE,20 du/ac,30du/ac,18,Non-Vacant,Commercial
NEVADA CITY,NEVADA,2018,005-270-038,646 Searls Avenue,,,1/12/2011,,,,1,Unaccommodated Need,1,UHD,R3-PD-AN,1/ac,16/ac,15,Non-Vacant,"Developed with SFD, entitled for 15 additional units"
PARAMOUNT,LOS ANGELES,2018,Multiple,Multiple,Clearwater East Specific Plan,,6/30/2019,248,156,168,445,Shortfall of Sites,51,Clearwater East,Clearwater East Specific Plan,20 units per acre (forthcoming),22 units per acre (forthcoming),1000,Non-Vacant,"Swap meets, industrial, commercial, and office uses"
MOUNTAIN VIEW,SANTA CLARA,2018,11610079,1758  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,3,21,No Net Loss,0.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,26,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610085,1674  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,41,No Net Loss,0.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,50,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610084,1890 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,33,No Net Loss,0.7,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,40,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610097,1015  JOAQUIN ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,6,13,25,208,No Net Loss,4.41,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,252,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610105,1545  CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,5,11,21,175,No Net Loss,3.71,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,212,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610077,1804 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,44,No Net Loss,0.94,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,53,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610102,1565  CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,12,25,49,406,No Net Loss,8.63,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,492,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610095,1500  PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,8,16,33,272,No Net Loss,5.77,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,329,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610078,1764  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,3,23,No Net Loss,0.5,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,28,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610090,1808  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,5,11,89,No Net Loss,1.88,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,108,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610104,1010  JOAQUIN RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,5,10,21,171,No Net Loss,3.64,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,207,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610108,1053  JOAQUIN RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,6,13,25,209,No Net Loss,4.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,253,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610089,1824  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,8,16,130,No Net Loss,2.77,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,158,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610107,1489  CHARLESTON RD,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,44,No Net Loss,0.94,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,53,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610086,1616 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,5,42,No Net Loss,0.89,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,51,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610080,1742  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,3,5,11,88,No Net Loss,1.86,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,107,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610070,1600 N SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,35,No Net Loss,0.74,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,42,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11610003,1547  PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,2,21,No Net Loss,0.44,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,25,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11613030,1500  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,22,45,90,742,No Net Loss,15.75,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,899,Nonvacant,Movie Theater
MOUNTAIN VIEW,SANTA CLARA,2018,11610004,1543  PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,1,2,20,No Net Loss,0.42,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,24,Nonvacant,SFR
MOUNTAIN VIEW,SANTA CLARA,2018,11610088,1431  PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,36,No Net Loss,0.76,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,43,Nonvacant,Bar
MOUNTAIN VIEW,SANTA CLARA,2018,11610101,1435  PLYMOUTH ST,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,3,6,47,No Net Loss,0.99,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,57,Nonvacant,Retail
MOUNTAIN VIEW,SANTA CLARA,2018,11613038,SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,4,34,No Net Loss,0.71,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,41,Vacant,
MOUNTAIN VIEW,SANTA CLARA,2018,11613034,1400  SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,9,18,37,302,No Net Loss,6.41,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,366,Nonvacant,Office/Industrial
MOUNTAIN VIEW,SANTA CLARA,2018,11613037,SHORELINE BL,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,1,2,3,26,No Net Loss,0.55,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,32,Vacant,
MOUNTAIN VIEW,SANTA CLARA,2018,11611025,1390  SHOREBIRD WY,North Bayshore Precise Plan,2015-NBSPP,12/12/2017,4,8,16,132,No Net Loss,1.8,North Bayshore Mixed-Use Center,North Bayshore Precise Plan,0,200 units/acre,160,Nonvacant,Office/Industrial
